prompt_index,image_path,hps_score
107,../HiDream-I1/output/full/image_426.png,0.29188937
107,../HiDream-I1/output/full/image_427.png,0.33083034
107,../HiDream-I1/output/full/image_428.png,0.31360945
108,../HiDream-I1/output/full/image_429.png,0.36855018
108,../HiDream-I1/output/full/image_430.png,0.3702207
108,../HiDream-I1/output/full/image_431.png,0.37067547
108,../HiDream-I1/output/full/image_432.png,0.34417763
109,../HiDream-I1/output/full/image_433.png,0.32595062
109,../HiDream-I1/output/full/image_434.png,0.33317187
109,../HiDream-I1/output/full/image_435.png,0.3524645
109,../HiDream-I1/output/full/image_436.png,0.34652182
110,../HiDream-I1/output/full/image_437.png,0.36005345
110,../HiDream-I1/output/full/image_438.png,0.3443896
110,../HiDream-I1/output/full/image_439.png,0.3741721
110,../HiDream-I1/output/full/image_440.png,0.3526316
111,../HiDream-I1/output/full/image_441.png,0.31958133
111,../HiDream-I1/output/full/image_442.png,0.30671194
111,../HiDream-I1/output/full/image_443.png,0.32069343
111,../HiDream-I1/output/full/image_444.png,0.32892227
112,../HiDream-I1/output/full/image_445.png,0.30432153
112,../HiDream-I1/output/full/image_446.png,0.3216986
112,../HiDream-I1/output/full/image_447.png,0.31991544
112,../HiDream-I1/output/full/image_448.png,0.33139998
113,../HiDream-I1/output/full/image_449.png,0.3098383
113,../HiDream-I1/output/full/image_450.png,0.3288633
113,../HiDream-I1/output/full/image_451.png,0.32915938
113,../HiDream-I1/output/full/image_452.png,0.3111717
114,../HiDream-I1/output/full/image_453.png,0.32886085
114,../HiDream-I1/output/full/image_454.png,0.3218447
114,../HiDream-I1/output/full/image_455.png,0.31458023
114,../HiDream-I1/output/full/image_456.png,0.32314742
115,../HiDream-I1/output/full/image_457.png,0.37050635
115,../HiDream-I1/output/full/image_458.png,0.3495077
115,../HiDream-I1/output/full/image_459.png,0.37238216
115,../HiDream-I1/output/full/image_460.png,0.37029117
116,../HiDream-I1/output/full/image_461.png,0.30869836
116,../HiDream-I1/output/full/image_462.png,0.31812066
116,../HiDream-I1/output/full/image_463.png,0.3098961
116,../HiDream-I1/output/full/image_464.png,0.30878755
117,../HiDream-I1/output/full/image_465.png,0.2995646
117,../HiDream-I1/output/full/image_466.png,0.27756563
117,../HiDream-I1/output/full/image_467.png,0.2974976
117,../HiDream-I1/output/full/image_468.png,0.31357676
118,../HiDream-I1/output/full/image_469.png,0.3339806
118,../HiDream-I1/output/full/image_470.png,0.31087196
118,../HiDream-I1/output/full/image_471.png,0.32015744
118,../HiDream-I1/output/full/image_472.png,0.33579844
119,../HiDream-I1/output/full/image_473.png,0.34424484
119,../HiDream-I1/output/full/image_474.png,0.32805857
119,../HiDream-I1/output/full/image_475.png,0.3451707
119,../HiDream-I1/output/full/image_476.png,0.31347853
120,../HiDream-I1/output/full/image_477.png,0.30657452
120,../HiDream-I1/output/full/image_478.png,0.33146846
120,../HiDream-I1/output/full/image_479.png,0.32842597
120,../HiDream-I1/output/full/image_480.png,0.31805912
121,../HiDream-I1/output/full/image_481.png,0.31963158
121,../HiDream-I1/output/full/image_482.png,0.3227156
121,../HiDream-I1/output/full/image_483.png,0.31839195
121,../HiDream-I1/output/full/image_484.png,0.3183244
122,../HiDream-I1/output/full/image_485.png,0.33776104
122,../HiDream-I1/output/full/image_486.png,0.32947394
122,../HiDream-I1/output/full/image_487.png,0.33906573
122,../HiDream-I1/output/full/image_488.png,0.30652702
123,../HiDream-I1/output/full/image_489.png,0.28154305
123,../HiDream-I1/output/full/image_490.png,0.27849108
123,../HiDream-I1/output/full/image_491.png,0.2669755
123,../HiDream-I1/output/full/image_492.png,0.29268405
124,../HiDream-I1/output/full/image_493.png,0.3137266
124,../HiDream-I1/output/full/image_494.png,0.29944324
124,../HiDream-I1/output/full/image_495.png,0.31728613
124,../HiDream-I1/output/full/image_496.png,0.32773465
125,../HiDream-I1/output/full/image_497.png,0.28445283
125,../HiDream-I1/output/full/image_498.png,0.2639339
125,../HiDream-I1/output/full/image_499.png,0.28489256
125,../HiDream-I1/output/full/image_500.png,0.32065037
126,../HiDream-I1/output/full/image_501.png,0.33092037
126,../HiDream-I1/output/full/image_502.png,0.32557663
126,../HiDream-I1/output/full/image_503.png,0.32283765
126,../HiDream-I1/output/full/image_504.png,0.33797356
127,../HiDream-I1/output/full/image_505.png,0.27507216
127,../HiDream-I1/output/full/image_506.png,0.28548482
127,../HiDream-I1/output/full/image_507.png,0.28031296
127,../HiDream-I1/output/full/image_508.png,0.28986484
128,../HiDream-I1/output/full/image_509.png,0.32357296
128,../HiDream-I1/output/full/image_510.png,0.35057622
128,../HiDream-I1/output/full/image_511.png,0.33033812
128,../HiDream-I1/output/full/image_512.png,0.3332396
129,../HiDream-I1/output/full/image_513.png,0.23958962
129,../HiDream-I1/output/full/image_514.png,0.2150044
129,../HiDream-I1/output/full/image_515.png,0.28338933
129,../HiDream-I1/output/full/image_516.png,0.25818497
130,../HiDream-I1/output/full/image_517.png,0.2897602
