prompt_index,image_path,pickscore_score
58,../HiDream-I1/output/full/image_232.png,21.574068
59,../HiDream-I1/output/full/image_233.png,22.508396
59,../HiDream-I1/output/full/image_234.png,22.401693
59,../HiDream-I1/output/full/image_235.png,22.23894
59,../HiDream-I1/output/full/image_236.png,21.991884
60,../HiDream-I1/output/full/image_237.png,19.589655
60,../HiDream-I1/output/full/image_238.png,19.262844
60,../HiDream-I1/output/full/image_239.png,19.64555
60,../HiDream-I1/output/full/image_240.png,19.660519
61,../HiDream-I1/output/full/image_241.png,21.045729
61,../HiDream-I1/output/full/image_242.png,21.297731
61,../HiDream-I1/output/full/image_243.png,20.928242
61,../HiDream-I1/output/full/image_244.png,21.344269
62,../HiDream-I1/output/full/image_245.png,24.708582
62,../HiDream-I1/output/full/image_246.png,23.635098
62,../HiDream-I1/output/full/image_247.png,24.814142
62,../HiDream-I1/output/full/image_248.png,23.86044
63,../HiDream-I1/output/full/image_249.png,22.534683
63,../HiDream-I1/output/full/image_250.png,22.04603
63,../HiDream-I1/output/full/image_251.png,21.48502
63,../HiDream-I1/output/full/image_252.png,22.689915
64,../HiDream-I1/output/full/image_253.png,23.065994
64,../HiDream-I1/output/full/image_254.png,23.041481
64,../HiDream-I1/output/full/image_255.png,22.98401
64,../HiDream-I1/output/full/image_256.png,22.829956
65,../HiDream-I1/output/full/image_257.png,22.307915
65,../HiDream-I1/output/full/image_258.png,22.710058
65,../HiDream-I1/output/full/image_259.png,22.55819
65,../HiDream-I1/output/full/image_260.png,22.842762
66,../HiDream-I1/output/full/image_261.png,23.84204
66,../HiDream-I1/output/full/image_262.png,23.719114
66,../HiDream-I1/output/full/image_263.png,23.793287
66,../HiDream-I1/output/full/image_264.png,23.760025
67,../HiDream-I1/output/full/image_265.png,21.54791
67,../HiDream-I1/output/full/image_266.png,21.043386
67,../HiDream-I1/output/full/image_267.png,21.203888
67,../HiDream-I1/output/full/image_268.png,21.71489
68,../HiDream-I1/output/full/image_269.png,22.477781
68,../HiDream-I1/output/full/image_270.png,21.43539
68,../HiDream-I1/output/full/image_271.png,22.841698
68,../HiDream-I1/output/full/image_272.png,21.904148
69,../HiDream-I1/output/full/image_273.png,22.810707
69,../HiDream-I1/output/full/image_274.png,22.426294
69,../HiDream-I1/output/full/image_275.png,22.318642
69,../HiDream-I1/output/full/image_276.png,22.36733
70,../HiDream-I1/output/full/image_277.png,22.032372
70,../HiDream-I1/output/full/image_278.png,21.238441
70,../HiDream-I1/output/full/image_279.png,21.64169
70,../HiDream-I1/output/full/image_280.png,22.176025
71,../HiDream-I1/output/full/image_281.png,22.529829
71,../HiDream-I1/output/full/image_282.png,22.28807
71,../HiDream-I1/output/full/image_283.png,22.297812
71,../HiDream-I1/output/full/image_284.png,22.193523
72,../HiDream-I1/output/full/image_285.png,22.557892
72,../HiDream-I1/output/full/image_286.png,22.40267
72,../HiDream-I1/output/full/image_287.png,22.50041
72,../HiDream-I1/output/full/image_288.png,22.19042
73,../HiDream-I1/output/full/image_289.png,20.702154
73,../HiDream-I1/output/full/image_290.png,20.688068
73,../HiDream-I1/output/full/image_291.png,21.191536
73,../HiDream-I1/output/full/image_292.png,20.88052
74,../HiDream-I1/output/full/image_293.png,20.312927
74,../HiDream-I1/output/full/image_294.png,20.117363
74,../HiDream-I1/output/full/image_295.png,20.207336
74,../HiDream-I1/output/full/image_296.png,20.236069
75,../HiDream-I1/output/full/image_297.png,24.324228
75,../HiDream-I1/output/full/image_298.png,23.588032
75,../HiDream-I1/output/full/image_299.png,23.401194
75,../HiDream-I1/output/full/image_300.png,23.55983
76,../HiDream-I1/output/full/image_301.png,21.277714
76,../HiDream-I1/output/full/image_302.png,21.464108
76,../HiDream-I1/output/full/image_303.png,21.374523
76,../HiDream-I1/output/full/image_304.png,21.541573
77,../HiDream-I1/output/full/image_305.png,22.43874
77,../HiDream-I1/output/full/image_306.png,21.794325
77,../HiDream-I1/output/full/image_307.png,22.282658
77,../HiDream-I1/output/full/image_308.png,22.10934
78,../HiDream-I1/output/full/image_309.png,21.603737
78,../HiDream-I1/output/full/image_310.png,21.184944
78,../HiDream-I1/output/full/image_311.png,22.215948
78,../HiDream-I1/output/full/image_312.png,21.307215
79,../HiDream-I1/output/full/image_313.png,22.59611
79,../HiDream-I1/output/full/image_314.png,22.364044
79,../HiDream-I1/output/full/image_315.png,22.619526
79,../HiDream-I1/output/full/image_316.png,22.402967
80,../HiDream-I1/output/full/image_317.png,21.052668
80,../HiDream-I1/output/full/image_318.png,20.032515
80,../HiDream-I1/output/full/image_319.png,20.725548
80,../HiDream-I1/output/full/image_320.png,20.869068
81,../HiDream-I1/output/full/image_321.png,19.971935
81,../HiDream-I1/output/full/image_322.png,19.554983
81,../HiDream-I1/output/full/image_323.png,19.868034
81,../HiDream-I1/output/full/image_324.png,20.249676
82,../HiDream-I1/output/full/image_325.png,22.031954
82,../HiDream-I1/output/full/image_326.png,22.118406
82,../HiDream-I1/output/full/image_327.png,22.242277
82,../HiDream-I1/output/full/image_328.png,22.876106
83,../HiDream-I1/output/full/image_329.png,22.728945
